"Name","d","s","intervention_frac","seed","shd","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","constraint_mode","hid_dim","lr_init","model","model_kwargs.dim_hidden","model_kwargs.num_layers","model_kwargs.power_iteration_n_steps","n","nonlin","num_layers","num_modules","num_vars","number_of_samples","p","reg_coeff","stage1_kwargs.alpha","stage1_kwargs.batch_size","stage1_kwargs.beta","stage1_kwargs.gamma_increment","stage1_kwargs.learning_rate","stage1_kwargs.mask_threshold","stage1_kwargs.n_epochs","stage1_kwargs.n_epochs_check","stage2_kwargs.alpha","stage2_kwargs.batch_size","stage2_kwargs.beta","stage2_kwargs.dag_penalty_flavor","stage2_kwargs.freeze_gamma_at_dag","stage2_kwargs.freeze_gamma_threshold","stage2_kwargs.gamma_increment","stage2_kwargs.gamma_schedule","stage2_kwargs.learning_rate","stage2_kwargs.n_epochs","stage2_kwargs.n_epochs_check","stage2_kwargs.threshold","Aug_lag/gamma","Aug_lag/mu","Monitor/checkup","Monitor/stationary","Train/aug_lagrangian","Train/nll","Train/not_nll","Val/acyclic","Val/aug_lagrangian","Val/constraint_violation","Val/nll","Val/not_nll","Val/reg_value","alpha","dag","epoch","epoch_loss","fraction_edges_mask","gamma","is_prescreen","l1","l2","n_edges_pred","n_edges_pred_double_th","n_edges_pred_half_th","nll","precision","precision_double_th","precision_half_th","recall","recall_double_th","recall_half_th","recall_mask","score","score_double_th","score_half_th","shd_double_th","shd_half_th","train_time","trainer/global_step","validation_loss"
"DCDI","40","8","1","5","196","finished","-","achille","","2023-10-10T11:17:04.000Z","4596","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","182409700602544130","6.968982832187029e+33","735","210","-0.101103775203228","-0.13174718618392944","0.030643410980701447","1","-0.05156846344470978","4.405296853087579e-23","-0.0822119265794754","0.030643463134765625","0.30635419487953186","","","1467","","","","","","","490","","","","0.6224489795918368","","","0.953125","","","","200","","","","","4584.282962322235","275983",""
"DCDI","40","8","1","3","190","finished","-","achille","","2023-10-10T11:12:58.000Z","4634","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","50516490507517950","4.355614270116893e+32","628","204","-0.10834677517414092","-0.13949240744113922","0.03114563226699829","1","-0.07190493494272232","3.5242374824700634e-22","-0.1030506268143654","0.031145691871643063","0.31127896904945374","","","1252","","","","","","","498","","","","0.6285140562248996","","","0.978125","","","","192","","","","","4622.184107065201","235563",""
"DCDI","30","4","0.75","4","80","finished","-","achille","","2023-10-10T10:49:42.000Z","5409","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","23512060264448","2.596148413489397e+25","697","197","-0.18214622139930725","-0.2031511962413788","0.021004974842071533","1","-0.12108191102743147","0","-0.14208686351776123","0.021004952490329742","0.21004940569400787","","","1391","","","","","","","189","","","","0.6031746031746031","","","0.95","","","","81","","","","","5396.41673374176","187919",""
"DCDI","30","6","0.75","4","47","finished","-","achille","","2023-10-10T10:49:18.000Z","5138","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","892324806656","4.056481896077183e+23","658","162","-0.26938125491142273","-0.29210135340690613","0.0227200984954834","1","-0.19489863514900208","1.1546913279137212e-16","-0.21761874854564667","0.022720113396644592","0.22617067396640775","","","1312","","","","","","","203","","","","0.8226600985221675","","","0.9277777777777778","","","","49","","","","","5123.954791545868","177254",""
"DCDI","30","6","0.75","3","91","finished","-","achille","","2023-10-10T10:44:37.000Z","5024","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","1134610087936","2.0282409480385915e+23","640","164","-0.16312240064144137","-0.19073154032230377","0.027609139680862427","1","-0.0900835394859314","7.325982666846522e-17","-0.11769253015518188","0.02760899066925049","0.2752586305141449","","","1277","","","","","","","248","","","","0.6653225806451613","","","0.9166666666666666","","","","98","","","","","5009.340271949768","172529",""
"DCDI","40","8","0.75","4","183","finished","-","achille","","2023-10-10T10:37:54.000Z","5387","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","385368929930838000","2.787593132874811e+34","875","215","-0.3946020603179931","-0.4241506457328797","0.029548585414886475","1","-0.3206508159637451","0","-0.3501993715763092","0.029548555612564087","0.29548555612564087","","","1746","","","","","","","473","","","","0.6363636363636364","","","0.940625","","","","191","","","","","5374.312878608704","274278",""
"DCDI","30","6","0.75","5","82","finished","-","achille","","2023-10-10T10:29:16.000Z","5211","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","2194869846016","3.2451855168617464e+24","642","166","-0.30392006039619446","-0.33170726895332336","0.027787208557128903","1","-0.205192893743515","1.6495594747374095e-16","-0.23296919465065","0.02777630090713501","0.2741420269012451","","","1280","","","","","","","247","","","","0.6923076923076923","","","0.95","","","","85","","","","","5198.640357255936","172934",""
"SDCI","30","4","1","3","27","finished","-","achille","","2023-10-10T10:29:15.000Z","4160","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.6332578161094762","3261","8.224363327026367","0.25","9.504752376188094","0","0.24431975751738003","5.171202792397028","130","127","133","-3.2101178305058538","0.8538461538461538","0.8740157480314961","0.849624060150376","0.925","0.925","0.9416666666666668","0.9916666666666668","28","25","27","24","26","4148.571328878403","","-61.128429889678955"
"SDCI","30","2","1","5","16","finished","-","achille","","2023-10-10T10:29:04.000Z","4455","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.8173528192918512","3501","13.01631469967999","0.13111111111111112","9.504752376188094","0","0.14319798935063277","5.28230850606025","66","65","67","-0.1779277783028687","0.803030303030303","0.8153846153846154","0.7910447761194029","0.8833333333333333","0.8833333333333333","0.8833333333333333","0.95","20","19","21","16","18","4441.634478330612","","11.345795959234238"
"SDCI","30","4","1","5","31","finished","-","achille","","2023-10-10T10:26:08.000Z","4326","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.6540311499486996","3181","4.654321809358235","0.26222222222222225","9.504752376188094","0","0.2819128881526899","5.776410567609569","150","149","151","-7.620405680016626","0.7933333333333333","0.7986577181208053","0.7880794701986755","0.9916666666666668","0.9916666666666668","0.9916666666666668","1","32","31","33","30","32","4313.475477695465","","-151.09631776809692"
