,Name,shd,train_time,seed,epoch,Runtime,Hostname,d,model,State,Notes,User,Tags,Created,Sweep,adapt_to_n,batch_size,model_kwargs.dim_hidden,model_kwargs.num_layers,model_kwargs.power_iteration_n_steps,n,number_of_samples,p,s,stage1_kwargs.alpha,stage1_kwargs.batch_size,stage1_kwargs.beta,stage1_kwargs.gamma_increment,stage1_kwargs.learning_rate,stage1_kwargs.mask_threshold,stage1_kwargs.n_epochs,stage1_kwargs.n_epochs_check,stage2_kwargs.alpha,stage2_kwargs.batch_size,stage2_kwargs.beta,stage2_kwargs.dag_penalty_flavor,stage2_kwargs.freeze_gamma_at_dag,stage2_kwargs.freeze_gamma_threshold,stage2_kwargs.gamma_increment,stage2_kwargs.gamma_schedule,stage2_kwargs.learning_rate,stage2_kwargs.n_epochs,stage2_kwargs.n_epochs_check,stage2_kwargs.threshold,num_modules,constraint_mode,hid_dim,lr_init,nonlin,num_layers,num_vars,reg_coeff,alpha,dag,epoch_loss,gamma,is_prescreen,l1,l2,n_edges_pred,n_edges_pred_double_th,n_edges_pred_half_th,nll,precision,precision_double_th,precision_half_th,recall,recall_double_th,recall_half_th,score,score_double_th,score_half_th,shd_double_th,shd_half_th,validation_loss,Aug_lag/gamma,Aug_lag/mu,Monitor/checkup,Train/aug_lagrangian,Train/nll,Train/not_nll,Val/acyclic,Val/aug_lagrangian,Val/constraint_violation,Val/nll,Val/not_nll,Val/reg_value,fraction_edges_mask,h_val,inner_iter,lr,mu,recall_mask,trainer/global_step,Monitor/stationary,w_threshold
0,sortnregress,30.0,0.0586829185485839,4,,25,yolanda,10,Sortnregress,finished,-,achille,,2023-10-10T02:03:21.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,0.5714285714285714,,,0.3,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SDCI,14.0,471.3466968536377,4,3641.0,495,yolanda,10,SDCI,finished,-,achille,,2023-10-10T02:03:21.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,0.2,2000.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.5298054199665785,5.180323392152786,9.504752376188094,0.0,0.0493502567987889,2.6176355481147766,35.0,32.0,36.0,-2.5223315693438053,0.8,0.84375,0.8055555555555556,0.7,0.675,0.725,19.0,18.0,18.0,15.0,13.0,-20.2628231048584,,,,,,,,,,,,,0.75,,,,,0.975,,,
2,NOTEARS,38.0,7.883071660995483,4,,33,yolanda,10,NOTEARS,finished,-,achille,,2023-10-10T02:03:21.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,0.25,,,0.075,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.536743164e-06
3,NOBEARS,33.0,32.86071515083313,4,,58,yolanda,10,NOBEARS,finished,-,achille,,2023-10-10T02:03:21.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,0.7272727272727273,,,0.2,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0718021392822265
4,DCDI,20.0,309.8207609653473,4,824.0,337,yolanda,10,DCDI,finished,-,achille,,2023-10-10T02:03:21.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,exp,16.0,0.001,,2.0,10.0,0.1,,,,,,,,29.0,,,,0.7586206896551724,,,0.55,,,25.0,,,,,,9961.0830078125,180143984.0,414.0,0.1833355128765106,0.1546849459409713,0.0286505669355392,1.0,0.1717639118432999,1.0483305779018792e-08,0.1431130319833755,0.0286508798599243,0.2854643762111664,,,,,,,51974.0,87.0,
5,DCDFG,19.0,261.312362909317,4,581.0,285,yolanda,10,DCDFG,finished,-,achille,,2023-10-10T02:03:21.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,10.0,exp,16.0,0.001,leaky_relu,2.0,10.0,0.1,,,,,,,,40.0,,,,0.65,,,0.65,,,28.0,,,,,,250.85504150390625,10995.1162109375,292.0,0.1252866983413696,0.1030471324920654,0.0222395658493042,,0.2101118564605713,0.0,0.1878721415996551,0.0222397148609161,0.2223973125219345,,,,,,,36665.0,56.0,
6,sortnregress,30.0,0.1402750015258789,3,,25,yolanda,10,Sortnregress,finished,-,achille,,2023-10-10T02:03:21.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,0.5185185185185185,,,0.35,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SDCI,11.0,524.2787687778473,3,3980.0,550,yolanda,10,SDCI,finished,-,achille,,2023-10-10T02:03:21.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,0.2,2000.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.4623989146202802,2.9194964095950127,9.504752376188094,0.0,0.0454823162872344,2.2432659342885017,33.0,32.0,33.0,-3.764238886535168,0.9090909090909092,0.9375,0.9090909090909092,0.75,0.75,0.75,13.0,12.0,13.0,11.0,11.0,-28.71738314628601,,,,,,,,,,,,,0.71,,,,,0.95,,,
8,NOTEARS,40.0,9.373240232467651,3,,35,yolanda,10,NOTEARS,finished,-,achille,,2023-10-10T02:03:21.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,0.1,,,0.025,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.536743164e-06
9,NOBEARS,40.0,30.67694330215454,3,,56,yolanda,10,NOBEARS,finished,-,achille,,2023-10-10T02:03:21.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0.25,,,0.025,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0691509246826171
