,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,35,35.0,0.7415730337078652,0.8461538461538461,89,39,39.0,0.819672131147541,0.6410256410256411,61,0.21459197998046875,1
1,28,28.0,0.8125,0.8333333333333334,80,24,24.0,0.9090909090909091,0.7692307692307693,66,0.21683502197265625,2
2,29,29.0,0.8148148148148148,0.825,81,28,28.0,0.8611111111111112,0.775,72,0.09775543212890625,3
3,23,23.0,0.8705882352941177,0.8604651162790697,85,31,31.0,0.7835051546391752,0.8837209302325582,97,0.00194549560546875,4
4,15,15.0,0.8970588235294118,0.8840579710144928,68,20,20.0,0.9298245614035088,0.7681159420289855,57,0.13634490966796875,5
5,33,33.0,0.8271604938271605,0.7790697674418605,81,36,36.0,0.8676470588235294,0.686046511627907,68,0.17282867431640625,6
6,28,28.0,0.8072289156626506,0.8481012658227848,83,27,27.0,0.8513513513513513,0.7974683544303798,74,0.13452911376953125,7
7,15,15.0,0.8611111111111112,0.9253731343283582,72,14,14.0,0.9076923076923077,0.8805970149253731,65,0.14940643310546875,8
8,21,21.0,0.8470588235294118,0.9,85,19,19.0,0.9420289855072463,0.8125,69,0.13381195068359375,9
9,18,18.0,0.8831168831168831,0.8831168831168831,77,16,16.0,0.9420289855072463,0.8441558441558441,69,0.08895111083984375,10
