,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,1,1.0,0.9090909090909091,1.0,11,1,1.0,0.9090909090909091,1.0,11,0.01294708251953125,1
1,2,2.0,1.0,0.8461538461538461,11,5,5.0,0.7222222222222222,1.0,18,0.00101470947265625,2
2,0,0.0,1.0,1.0,9,1,1.0,0.9,1.0,10,0.01020050048828125,3
3,0,0.0,1.0,1.0,14,1,1.0,0.9333333333333333,1.0,15,0.00630950927734375,4
4,2,2.0,1.0,0.8461538461538461,11,2,2.0,1.0,0.8461538461538461,11,0.03037261962890625,5
5,3,3.0,0.7777777777777778,0.875,9,3,3.0,0.7777777777777778,0.875,9,0.00115203857421875,6
6,0,0.0,1.0,1.0,11,5,5.0,0.6875,1.0,16,0.01090240478515625,7
7,0,0.0,1.0,1.0,11,1,1.0,0.9166666666666666,1.0,12,0.00327301025390625,8
8,1,1.0,1.0,0.9285714285714286,13,2,2.0,0.9285714285714286,0.9285714285714286,14,0.04326629638671875,9
9,2,2.0,0.8888888888888888,0.8888888888888888,9,1,1.0,1.0,0.8888888888888888,8,0.05988311767578125,10
