,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,2,2.0,0.9473684210526315,0.9473684210526315,19,2,2.0,0.9473684210526315,0.9473684210526315,19,0.02622222900390625,1
1,6,6.0,0.875,0.875,24,4,4.0,0.9545454545454546,0.875,22,0.10417938232421875,2
2,15,15.0,0.5862068965517241,0.85,29,13,13.0,0.6842105263157895,0.65,19,0.11753082275390625,3
3,3,3.0,0.9523809523809523,0.9090909090909091,21,3,3.0,0.9523809523809523,0.9090909090909091,21,0.04215240478515625,4
4,8,8.0,0.7391304347826086,0.8947368421052632,23,8,8.0,0.8235294117647058,0.7368421052631579,17,0.10213470458984375,5
5,10,10.0,0.75,0.875,28,14,14.0,0.8125,0.5416666666666666,16,0.20641326904296875,6
6,3,3.0,0.9565217391304348,0.9166666666666666,23,3,3.0,0.9565217391304348,0.9166666666666666,23,0.06981658935546875,7
7,7,7.0,0.84,0.875,25,7,7.0,1.0,0.7083333333333334,17,0.13832855224609375,8
8,18,18.0,0.5806451612903226,0.782608695652174,31,14,14.0,0.8,0.5217391304347826,15,0.19007110595703125,9
9,9,9.0,0.7142857142857143,0.8333333333333334,21,4,4.0,1.0,0.7777777777777778,14,0.13280487060546875,10
