,score_fixed,shd_fixed,precision_fixed,recall_fixed,n_edges_pred_fixed,score_dag,shd_dag,precision_dag,recall_dag,n_edges_pred_dag,min_dag_threshold,dataset_i
0,26,26.0,0.8235294117647058,0.8,68,27,27.0,0.9574468085106383,0.6428571428571429,47,0.11725616455078125,1
1,41,41.0,0.8533333333333334,0.6808510638297872,75,43,43.0,0.8072289156626506,0.7127659574468085,83,0.00783538818359375,2
2,13,13.0,0.9444444444444444,0.8831168831168831,72,13,13.0,0.9571428571428572,0.8701298701298701,70,0.06029510498046875,3
3,17,17.0,0.881578947368421,0.8933333333333333,76,25,25.0,0.9464285714285714,0.7066666666666667,56,0.08922576904296875,4
4,45,45.0,0.7903225806451613,0.6049382716049383,62,48,48.0,0.9230769230769231,0.4444444444444444,39,0.09954071044921875,5
5,29,29.0,0.8493150684931506,0.775,73,35,35.0,1.0,0.5625,45,0.10715484619140625,6
6,26,26.0,0.8695652173913043,0.7792207792207793,69,38,38.0,1.0,0.5064935064935064,39,0.10347747802734375,7
7,24,24.0,0.8947368421052632,0.8095238095238095,76,24,24.0,0.8846153846153846,0.8214285714285714,78,0.04793548583984375,8
8,8,8.0,0.9367088607594937,0.961038961038961,79,24,24.0,1.0,0.6883116883116883,53,0.12216949462890625,9
9,26,26.0,0.8765432098765432,0.8160919540229885,81,25,25.0,0.8974358974358975,0.8045977011494253,78,0.05637359619140625,10
